category,url,notes
noticias,https://www.youtube.com/watch?v=WR_SfmcIcSw,
noticias,https://www.youtube.com/watch?v=Ew-qbwRoXck,
noticias,https://www.youtube.com/watch?v=ZDvrRmPV2Qs,
noticias,https://www.youtube.com/watch?v=kLBE44gP1YI,
noticias,https://www.youtube.com/watch?v=xS7WJqz-3cY,
deportes,https://www.youtube.com/watch?v=JRs4l7h2nNg,
deportes,https://www.youtube.com/watch?v=Oc3aANBp4KA,
deportes,https://www.youtube.com/watch?v=pOkUgDDKgFs,
deportes,https://www.youtube.com/watch?v=BST-O1Fdx4c,
deportes,https://www.youtube.com/watch?v=Q6S-BFpYDlM,
ciencia,https://www.youtube.com/watch?v=8urGTdEioOQ,
ciencia,https://www.youtube.com/watch?v=-kGjnN5INHQ,
ciencia,https://www.youtube.com/watch?v=mUv9fzMcXAA,
ciencia,https://www.youtube.com/watch?v=nY9pYrZL70E,
ciencia,https://www.youtube.com/watch?v=qchySE98pUc,
politica,https://www.youtube.com/watch?v=dKq02JWtddo,
politica,https://www.youtube.com/watch?v=Q--2CdM--dA,
politica,https://www.youtube.com/watch?v=wINcA3wA1ME,
politica,https://www.youtube.com/watch?v=5sl6VMTT8Qs,
politica,https://www.youtube.com/watch?v=3ptSscfgKWU&t=438s,
historia,https://www.youtube.com/watch?v=-TTkNU64W8Y,
historia,https://www.youtube.com/watch?v=AYD609Lfn_I,
historia,https://www.youtube.com/watch?v=fY1xeOjYtyQ,
historia,https://www.youtube.com/watch?v=S5ynrmXPuN4,
historia,https://www.youtube.com/watch?v=Yi9RylBqfEg,
